# A small subset of The Boston Housing Dataset
# https://www.cs.toronto.edu/~delve/data/boston/bostonDetail.html
# 
# CRIM - per capita crime rate by town
# INDUS - proportion of non-retail business acres per town.
# RM - average number of rooms per dwelling
# MEDV - Median value of owner-occupied homes in $1000's
#
CRIM,INDUS,RM,MEDV
0.00632,2.31,6.575,24.0
0.02731,7.07,6.421,21.6
0.02729,7.07,7.185,34.7
0.03237,2.18,6.998,33.4
0.06905,2.18,7.147,36.2
0.02985,2.18,6.43,28.7
0.08829,7.87,6.012,22.9
0.14455,7.87,6.172,27.1
0.21124,7.87,5.631,16.5
0.17004,7.87,6.004,18.9
0.22489,7.87,6.377,15.0
0.11747,7.87,6.009,18.9
0.09378,7.87,5.889,21.7
0.62976,8.14,5.949,20.4
0.63796,8.14,6.096,18.2
0.62739,8.14,5.834,19.9
1.05393,8.14,5.935,23.1
0.7842,8.14,5.99,17.5
0.80271,8.14,5.456,20.2
0.7258,8.14,5.727,18.2
1.25179,8.14,5.57,13.6
0.85204,8.14,5.965,19.6
1.23247,8.14,6.142,15.2
0.98843,8.14,5.813,14.5
0.75026,8.14,5.924,15.6
0.84054,8.14,5.599,13.9
0.67191,8.14,5.813,16.6
0.95577,8.14,6.047,14.8
0.77299,8.14,6.495,18.4
1.00245,8.14,6.674,21.0
1.13081,8.14,5.713,12.7
1.35472,8.14,6.072,14.5
1.38799,8.14,5.95,13.2
1.15172,8.14,5.701,13.1
1.61282,8.14,6.096,13.5
0.06417,5.96,5.933,18.9
0.09744,5.96,5.841,20.0
0.08014,5.96,5.85,21.0
0.17505,5.96,5.966,24.7
0.02763,2.95,6.595,30.8
0.03359,2.95,7.024,34.9
0.12744,6.91,6.77,26.6
0.1415,6.91,6.169,25.3
0.15936,6.91,6.211,24.7
0.12269,6.91,6.069,21.2
0.17142,6.91,5.682,19.3
0.18836,6.91,5.786,20.0
0.22927,6.91,6.03,16.6
0.25387,6.91,5.399,14.4
0.21977,6.91,5.602,19.4
0.08873,5.64,5.963,19.7
0.04337,5.64,6.115,20.5
0.0536,5.64,6.511,25.0
0.04981,5.64,5.998,23.4
0.0136,4.0,5.888,18.9
0.01311,1.22,7.249,35.4
0.02055,0.74,6.383,24.7
