for cs3 end-term exam 1
========
c1,c2,c3,c4,c5,c6,y
2.01,2.4,2.34,1.9,1.06,-0.38,7.4
3.28,-0.04,1.86,0.32,1.9,0.24,4.42
0.23,-0.48,1.96,2.85,1.34,2.3,27.17
2.73,-1.44,1.9,-0.02,0.46,1.51,5.56
0.11,1.99,-1.54,-0.66,-0.24,1.88,-1.76
-0.15,5.04,1.0,0.07,1.02,2.54,3.15
0.5,-1.17,-0.58,-0.18,-0.39,-0.54,3.81
1.14,1.81,1.55,1.64,3.67,1.14,13.72
-1.07,1.16,1.13,2.87,0.91,0.28,30.69
1.34,-0.22,3.3,-0.65,1.28,1.01,1.64
0.11,2.25,1.59,0.73,1.17,-0.1,10.92
-0.95,0.5,-1.38,-0.18,2.74,0.74,10.31
-1.4,1.46,1.93,2.39,3.05,2.62,26.21
0.55,1.63,1.74,1.23,0.79,-0.03,14.08
-1.18,-0.39,1.18,1.32,1.11,0.58,19.36
0.7,4.66,0.79,-0.34,-0.11,-0.38,-4.14
0.17,1.59,-0.35,2.24,1.08,1.23,13.69
3.94,1.91,-0.1,2.81,1.11,1.72,7.27
-1.56,0.61,0.33,4.21,2.62,1.84,37.2
2.37,0.18,2.03,0.87,1.67,1.7,6.0
-0.04,0.65,0.89,-0.55,2.03,0.54,7.5
-0.01,0.52,0.59,0.49,1.36,0.36,5.99
1.82,3.59,-0.36,-0.09,0.34,1.43,-3.71
4.36,3.42,3.42,1.38,1.13,0.89,-9.89
1.24,0.57,2.29,-0.05,0.27,3.19,3.71
-1.43,-0.47,1.92,0.36,-0.19,1.36,9.0
0.26,1.31,1.67,1.49,1.07,0.44,6.41
-0.53,-0.88,4.31,0.72,1.33,0.05,22.6
-2.3,-0.04,3.58,0.4,1.57,1.75,26.08
0.62,2.66,2.27,1.46,-0.04,1.2,6.63
-0.59,4.36,-0.31,-0.21,0.12,0.45,-1.8
3.76,0.61,2.6,-0.56,3.22,-0.08,-3.61
0.22,0.65,-0.01,2.42,-0.25,0.81,15.36
-0.64,1.75,0.17,0.61,1.53,1.82,9.09
3.12,1.27,0.7,-0.58,2.36,1.31,-8.96
0.88,1.73,0.19,1.81,1.09,1.91,10.0
-0.95,2.74,-2.62,1.43,0.27,0.97,9.7
-2.06,-0.31,2.15,2.82,2.36,1.65,38.32
0.63,0.65,1.39,0.4,2.21,-0.19,8.58
1.46,1.92,0.9,-0.1,1.45,0.6,4.97
2.42,3.0,3.46,-0.11,2.1,-0.06,-5.14
2.74,0.61,1.11,1.75,-0.14,3.5,5.35
1.58,-0.81,-0.25,0.5,2.0,1.04,5.09
0.54,-0.42,5.01,0.64,1.04,1.72,17.17
2.42,2.3,0.39,1.33,0.39,-0.51,2.51
2.84,0.43,-2.27,-0.42,-0.96,-0.4,-7.99
-0.1,1.32,2.06,0.39,0.37,0.38,9.89
0.74,1.46,0.31,3.0,0.93,0.75,15.79
-0.04,0.51,0.31,1.53,1.19,1.03,18.31
0.06,3.28,1.33,0.32,-0.74,2.21,4.67
1.59,2.97,-1.07,2.8,0.92,-0.79,12.83
0.63,0.43,0.56,1.42,1.26,0.26,7.45
0.19,0.23,2.41,0.52,2.23,1.18,13.15
1.62,2.15,3.56,0.23,-1.42,1.29,-3.12
2.75,1.15,0.08,1.61,2.2,0.29,3.73
3.17,3.74,0.89,0.95,1.32,0.79,3.41
0.22,3.42,-1.51,1.6,1.06,0.6,7.49
-1.86,0.79,1.66,0.45,0.78,0.52,14.52
1.61,0.81,-0.12,0.52,1.66,0.61,7.67
1.48,-1.5,-0.31,-0.0,1.38,2.6,10.51
1.0,0.05,1.68,2.2,2.69,1.68,20.27
3.78,-2.15,0.26,2.08,1.31,1.22,8.74
0.91,0.46,0.9,0.03,1.16,1.84,9.76
1.27,1.52,1.26,1.97,0.14,-0.68,11.61
1.67,-0.9,1.43,1.82,1.89,1.79,17.75
-1.49,0.27,0.3,0.83,1.94,0.9,29.89
0.57,1.47,0.67,-0.16,0.74,2.27,7.49
-0.41,-0.71,-1.47,2.0,-0.17,0.99,17.64
-0.87,0.33,1.9,-0.69,2.62,1.76,11.24
0.56,5.06,-0.04,1.35,0.3,1.34,0.3
0.95,0.66,-0.1,-0.07,1.73,3.18,5.94
2.9,1.04,0.47,-0.6,2.19,-0.29,-5.07
0.74,3.77,0.53,1.65,1.36,1.93,12.83
1.86,1.33,2.25,1.24,0.83,1.07,5.05
4.63,-0.18,1.77,-1.02,0.21,0.18,-14.69
2.58,2.13,2.55,1.27,1.95,1.9,6.13
2.13,-0.37,3.8,-0.08,-0.24,0.82,3.97
-0.03,1.79,5.35,1.16,0.78,1.28,10.03
0.49,1.54,1.24,2.17,2.37,0.19,14.45
0.54,-0.81,1.23,-1.7,0.41,1.91,4.24
-0.72,-0.22,0.52,1.5,-0.79,-0.11,18.85
1.7,-0.99,0.98,0.38,0.72,1.17,3.24
2.23,-1.37,-1.02,4.62,0.16,1.55,19.56
0.33,0.93,1.75,2.53,1.13,1.12,20.61
1.25,2.08,2.12,2.42,0.06,-0.27,8.08
-0.19,0.5,1.51,0.61,2.85,0.87,14.06
3.24,0.12,0.83,-0.32,-1.02,0.17,-5.35
3.63,1.54,0.55,1.27,0.37,-0.41,-5.08
-1.62,2.1,-0.55,-0.27,2.2,1.19,13.68
1.1,-0.8,-0.17,1.31,-0.14,1.07,15.8
-0.36,2.15,1.11,0.68,2.16,-0.27,5.19
2.62,-0.66,1.77,0.84,-0.54,1.52,6.67
-0.81,0.52,-0.57,2.42,0.71,0.09,18.61
0.7,2.54,1.97,0.3,1.02,1.31,6.4
1.04,-1.49,3.72,0.68,2.16,0.45,17.15
-1.25,1.9,2.13,2.34,2.07,0.52,24.98
3.31,-0.35,1.91,-0.07,2.22,0.77,-0.93
0.17,-1.35,1.08,0.51,1.48,0.56,11.01
0.3,1.02,0.25,0.67,0.72,0.48,5.26
1.7,-2.21,0.04,1.62,-0.06,1.21,19.08
-1.37,2.68,1.56,1.61,0.07,0.27,14.03
3.4,1.7,1.09,-0.31,1.99,2.66,-10.69
2.68,0.71,-1.04,1.57,-0.44,1.69,1.05
0.16,-0.7,0.18,1.23,-0.25,1.53,13.89
2.66,0.91,1.09,1.15,0.3,1.46,7.52
-0.01,-2.04,1.34,0.89,1.46,-0.42,20.18
1.85,1.28,3.47,2.76,2.91,0.72,11.42
0.79,1.81,-0.65,0.89,1.93,-0.44,10.43
5.06,0.82,1.65,0.98,1.38,-0.1,-8.62
-1.37,-0.97,2.34,0.17,3.21,0.93,18.84
0.39,-0.69,2.34,0.93,2.84,-0.89,16.54
-0.71,1.0,1.1,1.5,0.66,0.84,20.57
0.86,-2.25,-0.3,-0.47,1.84,1.55,8.63
2.77,1.41,-0.89,0.99,2.6,0.09,-2.39
