CS3 mid-term exam problem 1 
n1,n2,n3,n4,n5,c
2.43,-2.89,-1.61,1.69,1.86,B
1.19,-1.02,1.5,0.83,-1.04,C
-1.48,0.51,-0.15,-1.19,0.94,A
0.78,-2.56,0.65,0.28,1.53,B
-1.86,1.21,0.37,-1.42,0.21,A
-0.93,3.19,-0.93,-0.31,-1.86,B
-0.35,0.05,-0.72,-0.27,0.75,A
0.64,3.06,-1.32,1.02,-2.92,B
-0.62,0.06,-0.21,-0.52,0.66,C
-2.13,1.45,-0.35,-1.6,0.68,A
-0.68,-0.39,-0.97,-0.62,1.69,A
2.72,-2.49,-2.31,2.01,1.65,A
0.72,-0.99,-0.69,0.48,0.84,A
-0.6,-0.17,0.11,-0.54,0.67,C
2.93,-1.58,-0.29,2.28,-0.86,C
1.7,-2.78,1.23,1.01,0.53,B
-1.31,0.2,-1.42,-1.06,1.95,A
-0.3,-0.2,2.4,-0.33,-1.13,C
-1.4,0.98,-0.37,-1.04,0.51,A
-0.67,0.23,-2.27,-0.49,1.91,A
0.83,-1.77,0.31,0.44,0.88,B
1.52,-1.62,-1.44,1.09,1.26,A
-2.07,3.64,-0.47,-1.23,-1.59,B
1.43,-1.08,0.67,1.05,-0.64,C
0.77,-0.49,1.39,0.56,-1.14,C
2.48,-0.13,-0.77,2.12,-1.65,C
-0.71,0.33,-0.34,-0.55,0.55,A
-1.13,0.17,-2.42,-0.89,2.49,A
1.1,-2.19,1.25,0.59,0.44,B
-0.42,0.24,-1.46,-0.3,1.12,A
2.83,0.12,-1.67,2.47,-1.63,C
-2.04,5.69,-1.98,-0.87,-2.75,B
0.94,-2.64,1.27,0.39,1.05,B
-0.1,-0.86,-0.19,-0.21,1.12,C
1.07,0.14,-0.27,0.94,-0.96,C
0.71,0.78,-1.31,0.75,-0.6,C
-1.3,2.63,-0.93,-0.71,-0.92,B
0.3,-2.12,0.81,-0.07,1.4,B
0.49,1.92,-1.42,0.73,-1.5,B
0.57,-0.66,2.15,0.34,-1.28,C
