This is
the sample data file
generated for cs3
mid-term exam
d1,d2,d3,d4
1.75,22,S,j
-0.29,0,D,t
-0.48,19,S,p
-2.65,19,S,p
-0.01,20,D,e
-0.32,8,S,p
-0.54,2,H,p
0.32,5,N,j
0.42,5,H,j
-1.07,0,H,t
-0.89,6,S,t
-0.48,1,D,j
0.69,15,H,e
0.56,2,S,e
-1.31,1,N,e
-1.12,18,N,t
0.74,11,H,e
1.57,0,H,p
-0.03,4,D,p
-0.68,1,D,j
1.1,16,S,p
-0.31,3,H,t
0.73,4,S,e
1.55,1,N,t
0.63,7,H,p
0.07,9,N,e
0.73,2,S,t
-0.64,15,N,j
-0.18,8,N,t
-0.57,0,D,t
-0.2,4,D,j
-0.49,1,N,e
-0.19,15,D,t
-0.38,9,H,t
0.09,3,D,t
0.06,1,S,p
0.3,12,S,t
1.4,7,N,t
-1.55,5,H,e
1.3,2,D,j
-0.24,4,D,e
-1.23,5,N,j
-0.17,9,S,j
0.09,6,S,p
1.07,5,H,t
-1.06,8,S,p
0.22,11,D,e
0.12,7,S,p
-1.68,5,H,p
-1.19,3,D,e
0.6,11,N,e
0.7,10,D,e
1.09,0,S,j
0.53,4,H,t
0.4,1,S,p
0.12,6,S,t
1.21,6,N,p
-0.84,17,N,p
-0.14,15,H,e
0.39,16,H,t
-1.58,0,D,t
1.31,9,H,e
-0.79,3,H,j
-0.07,9,N,j
2.16,3,N,p
-0.83,4,D,e
-0.53,6,N,p
1.56,6,N,p
-1.08,2,S,t
-0.43,1,H,e
0.52,11,H,t
0.46,1,D,t
0.59,14,H,j
0.37,14,N,p
1.35,1,N,e
1.02,1,H,e
0.6,1,S,t
-0.68,15,H,e
-0.71,13,H,t
-1.91,0,N,p
0.69,14,N,e
-1.82,11,D,e
0.88,7,D,e
1.85,0,N,t
-1.06,16,H,t
-0.68,16,D,e
-0.48,4,H,p
0.83,0,S,e
-0.86,3,N,p
-0.13,15,N,t
-0.52,1,N,e
-0.25,3,S,e
1.29,15,S,j
-0.96,17,N,p
0.07,15,H,j
0.27,3,S,p
0.86,11,D,j
-1.26,13,D,t
1.11,9,D,t
0.43,12,H,t
0.87,13,N,j
0.07,11,D,j
-1.64,1,D,j
-0.65,12,D,p
0.82,15,N,e
0.04,0,D,t
-0.05,19,N,j
1.79,0,D,p
